Planner Group,Equipment Category,Object type,Catalog Profile Code,Catalog Profile,Equipment,Tag Number,Equipment Desc.,Description,Notification Date,Breakdown Duration,Name of Work Center,Cost Center,Cost Center Desc,Order,Notification,ABC Indicator,Breakdown Indicator,Object Part,Problem or Damage,Cause,Activity
MCA,크레인,LIFTING MAGNET 크레인,AA01,LIFTING MAGNET-ELECTRIC OVERHEAD CRANE(LM-EOC),1000000353,CH0150001,15TON LM-EOC[생1)선체공장 0-Bay(남)],CHAGER DRIVE FAULT 발생(O-BAY 15TON LMEOC),2018-01-03T00:00:00.000,4,태진 크레인정비 1반,D6023500,가공부,10000359691,10395082,A,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000341,CG2500001,250/5TON LLC[한내적치장(1호)],250/5TON LLC[한내적치장(1호)]선회작동 불능 점검요망,2018-01-03T00:00:00.000,4,기계지원부 기계정비1직 4반,D6022350,블록물류부,10000359740,10395112,A,Yes,,,,
MCA,크레인,GANTRY 크레인,AC01,GOLIATH,1000000652,CS4500001,450TON GOLIATH[신한내 PE장(2호)],450TON GOLIATH[신한내 PE장(2호)]호이스트 작동이상 점검,2018-01-03T00:00:00.000,2,기계지원부 기계정비1직 4반,D6023670,신한내건조부,10000359754,10395146,A,Yes,,,,
MCB,용접기,용접장비,WA04,BUILD-UP용접장비,2200000012,AG0110001302,BUILD-UP용접장비 (생2)-2호기,(돌발)고주파 CP BOX SUPPORT 흔들림,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공부,10000359808,10395226,A,Yes,,,,
MCB,용접기,용접장비,WA01,주판용접장비,2200000066,AH0020004301,FIT-UP M/C STIFFENER 생2-35BAY(22.3.8매각철거,(돌발)NO4 PUSHER CYLINDER 작동불량,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023550,판넬조립부,10000359809,10395227,A,Yes,,,,
MCB,용접기,용접장비,WA04,BUILD-UP용접장비,2200000012,AG0110001302,BUILD-UP용접장비 (생2)-2호기,(돌발)상부 GUIDE ROLLER BEARING 마모,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공부,10000359810,10395229,A,Yes,,,,
MCB,기계설비,CONVEYOR,MH01,ROLLER CONVEYOR,1700001813,AD0140001301,TACK WELDING 정반 UP-DOWN ROLLER 생2,(돌발)SIDE PUSHER 작동불량,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공1부,10000359816,10395365,B,Yes,,,,
MCB,기계설비,공작설비,MA06,PRESS M/C,1700001550,AD0042200301,2200TON ROLL BENDING PRESS 생2,(돌발)Y1 유압호스 터짐,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공부,10000359817,10395366,A,Yes,,,,
MCB,기계설비,기계설비 기타,MZ13,대차,1700008064,AF0140801301,80TON TROLLEY CAR - A 생2,(돌발)IDLE WHEEL 마모,2018-01-04T00:00:00.000,1.5,기계지원부 기계정비2직 3반,D6023500,가공부,10000359819,10395368,A,Yes,,,,
MCA,크레인,OVERHEAD 크레인,AB01,ELECTRIC OVERHEAD CRANE(E.O.C),1000000051,CA0400011,40TON EOC[생2)조립공장 63-Bay(63-2)],40TON EOC(63-2)리모콘 미작동 보수,2018-01-04T00:00:00.000,2,태진 크레인정비 2반,D6024060,조립3부,10000360038,10395425,B,Yes,,,,
MCA,크레인,LIFTING MAGNET 크레인,AA04,LIFTING MAGNET-SEMI GANTRY CRANE(LM-SGC),1000000642,CP0300001,30TON LM-SGC[생2)가공 T-Bay(T-1)],30TON LMSGC(T-1)횡행 동작불능 보수,2018-01-04T00:00:00.000,2,태진 크레인정비 2반,D6023540,가공2부,10000360050,10395438,A,Yes,,,,
MCA,크레인,LIFTING MAGNET 크레인,AA04,LIFTING MAGNET-SEMI GANTRY CRANE(LM-SGC),1000000642,CP0300001,30TON LM-SGC[생2)가공 T-Bay(T-1)],30TON LMSGC(T-1)횡행 동작불능 보수,2018-01-04T00:00:00.000,4,태진 크레인정비 2반,D6023540,가공2부,10000360069,10395457,A,Yes,,,,
MCA,크레인,LIFTING MAGNET 크레인,AA01,LIFTING MAGNET-ELECTRIC OVERHEAD CRANE(LM-EOC),1000000382,CH0250001,25TON LM-EOC[생2)가공공장 22-Bay(22-1)],25TON LMEOC(22-1)호이스트 권상 시 속도불량 보수,2018-01-04T00:00:00.000,2,태진 크레인정비 2반,D6023540,가공2부,10000360079,10395467,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700016570,AA0010001005,PLS 생3-11호기,[돌발] PLS3-11 NC전원 자동 꺼짐,2018-01-05T00:00:00.000,7,기계지원부 기계정비2직 2반,D6024070,가공3부,10000360173,10395564,B,Yes,,,,
MCB,용접기,용접장비,WA05,대복관용접장비,2200000056,AG0170001002,대복관용접장비(생3)-2호기,[돌발] 대복용접3-2 케리지 LIMIT S/W 케이블단선,2018-01-05T00:00:00.000,4,기계지원부 기계정비2직 2반,D6024060,조립3부,10000360174,10395565,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),사용자 부주의로 리프트 2층에 멈춤,2018-01-07T00:00:00.000,5,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000360313,10395697,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000694,AI011001084,승강용 리프트 (84호),U/T MAIN 분전반 TRIP으로 리프트 정지,2018-01-07T00:00:00.000,0.67,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000360388,10395722,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000630,AI011001019,승강용 리프트 (19호),인버터 폴트 발생,2018-01-08T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000360451,10395813,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000649,AI011001038,승강용 리프트 (38호),인버터 폴트 발생,2018-01-08T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6023880,선행건조2부,10000360454,10395817,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000624,AI011001013,승강용 리프트 (13호),U/T MAIN 분전반 철거로 리프트 정지,2018-01-08T00:00:00.000,1,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000360456,10395819,B,Yes,,,,
MCA,크레인,GANTRY 크레인,AC03,GANTRY HOIST(G.H),1000000146,CC0600001,60TON GH[사곡공장(SGC-03)],BATTERY CHARGER SYSTEM 점검작업(사곡공장-60TON 0,2018-01-08T00:00:00.000,1.5,태진 크레인정비 3반,D6023960,선실2부,10000360523,10395857,A,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),비상정지 S/W 작동으로 중간에 멈춤,2018-01-08T00:00:00.000,0.5,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000360541,10395875,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500001983,AI011001119,승강용 리프트 (119호),사용자 부주의로 인버터 볼트 발생,2018-01-08T00:00:00.000,0.5,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000360542,10395876,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),비상정지 S/W 작동으로 리프트 멈춤,2018-01-08T00:00:00.000,0.5,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000360549,10395893,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000675,AI011001065,승강용 리프트 (65호),사용자 부주의로 인버터 폴트 발생,2018-01-08T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000360555,10395899,B,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000321,CG0450002,45/5TON LLC[생1)1C안벽(12호)],overspeed 애러발생으로 점검실시(llc-12 45ton),2018-01-09T00:00:00.000,2,기계지원부 기계정비1직 1반,D6022460,공사지원1부,10000360763,10396056,A,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000316,CG0300003,30/5TON LLC[생1)1C안벽(10호)],"M/H,A/H 작동시 B/K 열림이상발생으로보수작업실시(LLC-10 30",2018-01-09T00:00:00.000,4,기계지원부 기계정비1직 1반,D6022460,장비운영부,10000360786,10396090,B,Yes,,,,
MCB,기계설비,절단설비,6D01,절단장비,2300000060,RCAR002,형강절단로봇;생2-1,[돌발] 형로봇2-1 토치터치로 인한탈착이후 알람 발생,2018-01-09T00:00:00.000,4,기계지원부 기계정비2직 2반,D6023500,가공부,10000360802,10396108,A,Yes,,,,
MCB,기계설비,절단설비,6D01,절단장비,2300000061,RCAR003,형강절단로봇;생2-2,[[돌발] 로봇2-2 라벨링 16도트 파손,2018-01-09T00:00:00.000,4,기계지원부 기계정비2직 2반,D6023500,가공1부,10000360803,10396109,A,Yes,,,,
MCB,용접기,용접장비,WA05,대복관용접장비,2200000059,AG0170001007,대복관용접장비(생3)-5호기,[돌발] 대복용접3-5 BOOM직진.좌.우 구동 불량,2018-01-09T00:00:00.000,2,기계지원부 기계정비2직 2반,D6024060,조립3부,10000360806,10396122,B,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000315,CG0300002,30/5TON LLC[생1)1B안벽(7호)],A/H 작동불능으로 정비작업실시(LLC-7 30TON),2018-01-09T00:00:00.000,2,기계지원부 기계정비1직 1반,D6022460,장비운영부,10000360815,10396151,B,Yes,,,,
MCB,기계설비,절단설비,MC02,NC GAS CUTTING M/C,1700001313,AA0050001002,NC-GAS 생3-21호기,[돌발] NCG3-21 SV023X.U SERVO ALARM발생,2018-01-09T00:00:00.000,4,기계지원부 기계정비2직 2반,D6024070,가공3부,10000360849,10396165,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001268,AA0010001010,PLS 생3-31호기,[돌발] PLS3-31 냉각장치 칠러 알람발생,2018-01-10T00:00:00.000,2,기계지원부 기계정비2직 2반,D6024070,해)가공부,10000361072,10396387,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001293,AA0010001318,PLS 사-57호기,[돌발] 사PLS57 프로그램절단시PS129알람 발생,2018-01-10T00:00:00.000,4,기계지원부 기계정비2직 2반,D6023960,선실2부,10000361077,10396433,A,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000334,CG0700002,70TON LLC[생1)귤도안벽(18호)],주행 BEAM SENSOR 거리조정작업실시(LLC-18 70TON),2018-01-10T00:00:00.000,2,기계지원부 기계정비1직 1반,D6022460,장비운영부,10000361109,10396427,A,Yes,,,,
MCB,기계설비,절단설비,6D01,절단장비,2300000061,RCAR003,형강절단로봇;생2-2,"[돌발] 형로봇2-2 로봇4,5,6축 에러발생",2018-01-10T00:00:00.000,11.5,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361144,10396443,A,Yes,,,,
MCB,기계설비,절단설비,MC02,NC GAS CUTTING M/C,1700001296,AA0020001007,NC-GAS 생3-31호기,[돌발] NCG3-31 IPC 모니터 화면부팅 불량,2018-01-10T00:00:00.000,2,기계지원부 기계정비2직 2반,D6024070,가공3부,10000361145,10396444,B,Yes,,,,
MCB,기계설비,절단설비,MC02,NC GAS CUTTING M/C,1700001297,AA0020001008,NC-GAS 생3-32호기,[돌발] NCG3-32 주행 대각 오차발생,2018-01-10T00:00:00.000,2,기계지원부 기계정비2직 2반,D6024070,해)가공부,10000361146,10396445,B,Yes,,,,
MCB,기계설비,절단설비,6D01,절단장비,2300000060,RCAR002,형강절단로봇;생2-1,[돌발] 형로봇2-1 쇼크센서 미작동,2018-01-10T00:00:00.000,4,기계지원부 기계정비2직 2반,D6023500,가공부,10000361148,10396447,A,Yes,,,,
MCB,기계설비,절단설비,6D01,절단장비,2300000061,RCAR003,형강절단로봇;생2-2,[돌발] 형로봇2-2 절단TORCH 이탈발생,2018-01-10T00:00:00.000,4,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361149,10396448,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001278,AA0010001302,PLS 생2-42호기,[돌발] PLS2-42 PLASMA NOT READY,2018-01-10T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361159,10396508,B,Yes,,,,
MCB,기계설비,절단설비,MC02,NC GAS CUTTING M/C,1700001299,AA0020001301,NC-GAS 생2-31호기,[돌발] NCG2-31 C축 SERVO ALARM발생,2018-01-10T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361160,10396509,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001279,AA0010001303,PLS 생2-43호기,[돌발] PLS2-43 POSITION SENSOR 작동불량,2018-01-10T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361201,10396510,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001285,AA0010001309,PLS 생2-33호기,[돌발] PLS2-33 M/K 토치홀더 블럭 파손,2018-01-10T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공부,10000361202,10396511,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700013797,AA0010001311,PLS 생2-44호기,[돌발] PLT2-41 절단중 SV410 알람 발생,2018-01-10T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361203,10396512,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001289,AA0010001313,성형)PLS2-01호,[돌발] 성PLS2-1 횡행부O/T ALARM,2018-01-10T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361215,10396517,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700013797,AA0010001311,PLS 생2-44호기,[돌발] PLT2-41 TOUCH 센서 알람 발생,2018-01-10T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361218,10396530,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001277,AA0010001301,PLS 생2-41호기,[돌발] PLS2-41 DNC 네트워크 드라이버 연결불량,2018-01-10T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361219,10396532,A,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000321,CG0450002,45/5TON LLC[생1)1C안벽(12호)],CABLE REEL 점검(45TON LLC 12호기),2018-01-10T00:00:00.000,9,기계지원부 기계정비1직 1반,D6022460,공사지원1부,10000361232,10396544,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001284,AA0010001308,PLS 생2-32호기,[돌발] PLS2-32 M/K PLATE및 HOLDER 파손,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361280,10396660,B,Yes,,,,
MDA,중장비,건설기계,BB01,CRAWLER CRANE,1100000002,BA1508503,CRAWLER CRANE 150TON (경남07-8503),C/C150T 8503호 엔진오일 누유 점검작업,2018-01-11T00:00:00.000,1,중기운영부 중기정비반,D6022440,중기운영부,10000361285,10396557,B,Yes,,,,
MDA,중장비,건설기계,BB03,HYDRO CRANE,1100000012,BB0504161,50TON HYDRO CRANE (경남07-4161),H/C50T 4161호 에어 충전불량 수리작업,2018-01-11T00:00:00.000,57,중기운영부 중기정비반,D6022440,중기운영부,10000361298,10396590,B,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000344,CG2500004,250/10TON LLC[생1)죽도O-Area(G2호)],CABLE REEL점검(250TON LLC 2호기),2018-01-11T00:00:00.000,9,기계지원부 기계정비1직 1반,D6023740,건조1부,10000361304,10396596,A,Yes,,,,
MCA,크레인,타워크레인,AD01,TOWER CRANE(T/C),1000000621,CO0400005,40TON T/C[생1)0A안벽(1T-21)],산업안전공단검사요망(40TON T/C 1T-21),2018-01-11T00:00:00.000,2,기계지원부 기계정비1직 1반,D6022460,공사지원1부,10000361356,10396670,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001279,AA0010001303,PLS 생2-43호기,[돌발] PLS2-43 MARKING 파지 불량,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공부,10000361366,10396667,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001288,AA0010001312,PLP 생2-1호기,[돌발] PLP2-1 #1번 POWER SOURCE TRIP,2018-01-11T00:00:00.000,4,기계지원부 기계정비2직 2반,D6023500,가공부,10000361369,10396680,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001277,AA0010001301,PLS 생2-41호기,[돌발] PLS2-41 POSITION센서 고정 PIN파손,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공부,10000361372,10396684,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001283,AA0010001307,PLS 생2-31호기,[돌발] PLS2-31 절단정도 불량,2018-01-11T00:00:00.000,3,기계지원부 기계정비2직 2반,D6023500,가공부,10000361375,10396688,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001285,AA0010001309,PLS 생2-33호기,[돌발] PLS2-33 POSITION 센서 작동 불량,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공부,10000361376,10396689,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001278,AA0010001302,PLS 생2-42호기,[돌발] PLS2-42  CHILLER ALARM,2018-01-11T00:00:00.000,3,기계지원부 기계정비2직 2반,D6023500,가공부,10000361377,10396700,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001284,AA0010001308,PLS 생2-32호기,[돌발] PLS2-32 POSITION 센서 작동불량,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361380,10396705,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001281,AA0010001305,PLS 생2-22호기,"[돌발] PLS2-22 BEVEL LINK 충돌,파손",2018-01-11T00:00:00.000,3,기계지원부 기계정비2직 2반,D6023500,가공부,10000361423,10396710,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001277,AA0010001301,PLS 생2-41호기,[돌발] PLS2-41 마킹 라인 품질 불량,2018-01-11T00:00:00.000,3,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361424,10396711,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001278,AA0010001302,PLS 생2-42호기,"[점검] PLS2-42 마킹점화봉 불량,토치높이조정",2018-01-11T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361428,10396715,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700013797,AA0010001311,PLS 생2-44호기,[돌발] PLT2-41 절단정도 불량,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공부,10000361429,10396716,A,Yes,,,,
MCB,기계설비,절단설비,MC02,NC GAS CUTTING M/C,1700001299,AA0020001301,NC-GAS 생2-31호기,[돌발] NCG2-31 #3번 토치 에어 센서 절단중 하강,2018-01-11T00:00:00.000,3,기계지원부 기계정비2직 2반,D6023500,가공부,10000361432,10396719,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001284,AA0010001308,PLS 생2-32호기,[돌발] PLS2-32 횡행이동시 O/T ALARM 발생,2018-01-11T00:00:00.000,1,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361433,10396720,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001279,AA0010001303,PLS 생2-43호기,[돌발] PLS2-43 PLASMA 작동불량,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361436,10396723,B,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001277,AA0010001301,PLS 생2-41호기,[돌발] PLS2-41 C축 제로 리턴시 작동불량,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361437,10396724,A,Yes,,,,
MCB,기계설비,절단설비,MC01,PLASMA CUTTING M/C,1700001288,AA0010001312,PLP 생2-1호기,[돌발] PLP2-1 주행케이블베어 레일부 크레인 충돌,2018-01-11T00:00:00.000,2,기계지원부 기계정비2직 2반,D6023500,가공1부,10000361439,10396726,A,Yes,,,,
MDA,중장비,건설기계,BB02,ANGLE CRANE,1100000018,BB2721114,272TON ANGLE CRANE (경남07고1114),T/C272T 1114호 클러치 페달 작동상태 불량 수리작업,2018-01-13T00:00:00.000,2,중기운영부 중기정비반,D6022440,중기운영부,10000361658,10396926,A,Yes,,,,
MDA,중장비,건설기계,BB03,HYDRO CRANE,1100000013,BB0504163,50TON HYDRO CRANE (경남07-4163),H/C50T 4163호 유압호스 누유 교체작업,2018-01-13T00:00:00.000,4,중기운영부 중기정비반,D6022440,중기운영부,10000361660,10396928,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000671,AI011001061,승강용 리프트 (61호),리프트 1층에서 상승하지 않음,2018-01-15T00:00:00.000,1.5,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000361876,10396993,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),리프트 중간에 멈춤,2018-01-15T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000361877,10396996,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),리프트 중간에 멈춤,2018-01-15T00:00:00.000,0.67,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000361926,10397016,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500001978,AI011001114,승강용 리프트 (114호),2층 도어 작동불량,2018-01-15T00:00:00.000,0.67,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000361928,10397018,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),리프트 중간에 멈춤,2018-01-15T00:00:00.000,1.5,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000361929,10397019,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000649,AI011001038,승강용 리프트 (38호),인버터 펄트로 리프트 정지,2018-01-15T00:00:00.000,0.67,기계지원부 기계정비1직 3반,D6023880,선행건조2부,10000361930,10397030,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000649,AI011001038,승강용 리프트 (38호),인버터 펄트 발생으로 리프트 정지,2018-01-15T00:00:00.000,1.17,기계지원부 기계정비1직 3반,D6023880,선행건조2부,10000361961,10397043,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),LOAD LIMIT 작동으로 중간에 멈춤,2018-01-15T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000361962,10397044,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000630,AI011001019,승강용 리프트 (19호),1층 비상정지 S/W 작동으로 리프트 멈춤,2018-01-15T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000361963,10397045,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),인버터 펄트 발생으로 리프트 정지,2018-01-15T00:00:00.000,1,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000361966,10397048,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000699,AI011001089,승강용 리프트 (89호)_해양 대형,사용자 부주의로 리프트 정지(5층 비상정지 S/W작동),2018-01-15T00:00:00.000,0.67,기계지원부 기계정비1직 3반,D6022460,공사지원1부,10000361967,10397049,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000694,AI011001084,승강용 리프트 (84호),사용자 부주의로 리프트 정지(CAGE 내부 비상정지 S/W작동),2018-01-15T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000361968,10397110,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000649,AI011001038,승강용 리프트 (38호),인버터 펄트 발생으로 리프트 정지,2018-01-15T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6023880,선행건조2부,10000361969,10397111,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000679,AI011001069,승강용 리프트 (69호),인버터 펄트 발생으로 리프트 정지,2018-01-15T00:00:00.000,0.33,기계지원부 기계정비1직 3반,D6022460,장비운영부,10000361970,10397112,B,Yes,,,,
MCA,크레인,LIFTING MAGNET 크레인,AA01,LIFTING MAGNET-ELECTRIC OVERHEAD CRANE(LM-EOC),1000000362,CH0150012,15TON LM-EOC[생3)가공공장 31-Bay(동)],MAGPOT 작동이상으로 점검작업(31BAY 15TON LM ),2018-01-15T00:00:00.000,1,태진 크레인정비 3반,D6024070,해)가공부,10000362014,10397150,A,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000643,AI011001032,건설용 리프트 (32호),인버터 펄트 발생,2018-01-16T00:00:00.000,3.5,기계지원부 기계정비1직 3반,D6023760,LNG선공사1부,10000362189,10397282,B,Yes,,,,
MCA,족장설비,E/V형 승강대,HB04,승강 Lift?,1500000649,AI011001038,승강용 리프트 (38호),리프트 작동불량으로 점검,2018-01-16T00:00:00.000,0.67,기계지원부 기계정비1직 3반,D6023880,선행건조2부,10000362193,10397286,B,Yes,,,,
MDA,중장비,건설기계,BB01,CRAWLER CRANE,1100000004,BA2008507,225TON CRAWLER CRANE (경남07-8507)(매각),C/C200T 8507호 혼 작동불 수리작업,2018-01-16T00:00:00.000,1,중기운영부 중기정비반,D6022440,중기운영부,10000362237,10397307,A,Yes,,,,
MCB,용접기,용접장비,WA01,주판용접장비,2200000006,AG0090001304,주판용접장비 (생2)-04호기,(돌발)35BAY FIT UP 4번 PUSHER CYLINDER 작동불량,2018-01-15T00:00:00.000,1.5,기계지원부 기계정비2직 3반,D6023550,판넬조립부,10000362399,10397478,A,Yes,,,,
MCB,용접기,용접장비,WA02,STIFFENER용접장비,2200000061,AG0180001304,STIFFENER용접장비 (생2)-1호기,(돌발)35BAY 40POLE 21번 용접기 작동불량,2018-01-17T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023550,판넬조립부,10000362400,10397479,A,Yes,,,,
MCB,용접기,용접장비,WA01,주판용접장비,2200000067,AH0020004302,FIT-UP M/C STIFFENER 생2-36BAY,(돌발)용접토치 UP/DOWN CYLINDER 파손,2018-01-17T00:00:00.000,4,기계지원부 기계정비2직 3반,D6023550,판넬조립부,10000362457,10397529,A,Yes,,,,
